"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L4,L3,L2";"L_0805_2012Metric";3;"L";;;
2;"U3";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm";1;"msi001";;;
3;"U4";"SOT-23-5";1;"RT9193-28";;;
4;"U5";"SOT-23";1;"AP7313-33SAG";;;
5;"Y2";"Crystal_SMD_HC49-SD";1;"24MHz";;;
6;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"msi2500";;;
7;"Y1";"Crystal_SMD_7050-4Pin_7.0x5.0mm";1;"24MHZ";;;
8;"C28,C31,C29,C27,C25,C23,C22,C16,C15,C7,C5,C30,C32";"C_0805_2012Metric";13;"10nF";;;
9;"R10,R8,R11";"R_0805_2012Metric";3;"50";;;
10;"R9";"R_0805_2012Metric";1;"390";;;
11;"R7,R6,R5,R4,R1";"R_0805_2012Metric";5;"10K";;;
12;"R3";"R_0805_2012Metric";1;"510R";;;
13;"R2";"R_0805_2012Metric";1;"512";;;
14;"C26";"C_0805_2012Metric";1;"33nF";;;
15;"C24";"C_0805_2012Metric";1;"6800pF";;;
16;"C21,C20,C18";"C_0805_2012Metric";3;"1nF";;;
17;"C19,C17";"C_0805_2012Metric";2;"100nF";;;
18;"C14";"C_0805_2012Metric";1;"1uF";;;
19;"C9,C2";"C_0805_2012Metric";2;"1UF";;;
20;"C6,C4";"C_0805_2012Metric";2;"15pF";;;
21;"D1,D2,D3";"LED_0805_2012Metric";3;"LED";;;
22;"U2";"DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm";1;"B39431B3710U410";;;
23;"C1,C3,C8,C10,C11,C12,C13";"CP_EIA-2012-12_Kemet-R";7;"CP";;;
24;"C33,C36,C37";"CP_EIA-2012-12_Kemet-R";3;"10uF";;;
25;"D4,D5";"SOT-23";2;"BAV99LT1G";;;
26;"J1";"SMA_OPL_EMPTYHEAD";1;"SMA_UHF";;;
27;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
28;"J3";"PinHeader_1x05_P1.00mm_Vertical";1;"USB_OTG";;;
29;"C34";"C_0805_2012Metric";1;"22nF";;;
30;"C35";"CP_EIA-7343-15_Kemet-W";1;"100uF";;;
31;"R12,R13";"R_0805_2012Metric";2;"470";;;
32;"U6";"SOT-89-3";1;"PGA-103";;;
33;"L1";"L_0805_2012Metric";1;"330nH";;;
34;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"5V Pi";;;
35;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"5V USB";;;
